,Year,Team,champion
566,2019,Dallas Mavericks,False
567,2019,Milwaukee Bucks,True
568,2019,Portland Trail Blazers,False
569,2019,Houston Rockets,False
570,2019,Los Angeles Clippers,False
571,2019,New Orleans Pelicans,False
572,2019,Phoenix Suns,False
573,2019,Washington Wizards,False
574,2019,Memphis Grizzlies,False
575,2019,Boston Celtics,False
576,2019,Miami Heat,False
577,2019,Denver Nuggets,False
578,2019,Toronto Raptors,False
579,2019,San Antonio Spurs,False
580,2019,Philadelphia 76ers,False
581,2019,Los Angeles Lakers,False
582,2019,Brooklyn Nets,False
583,2019,Utah Jazz,False
584,2019,Indiana Pacers,False
585,2019,Oklahoma City Thunder,False
586,2019,Sacramento Kings,False
587,2019,Orlando Magic,False
588,2019,Atlanta Hawks,False
589,2019,Minnesota Timberwolves,False
590,2019,Detroit Pistons,False
591,2019,New York Knicks,False
592,2019,Cleveland Cavaliers,False
593,2019,Chicago Bulls,False
594,2019,Golden State Warriors,False
595,2019,Charlotte Hornets,False
